Category,Loan01,Loan02,Loan03,Loan04,Loan05,Loan06,Loan07,Loan08,Sum
Intrest,468.2678352826419,2698.261749185972,700.263812588378,430.49796208082273,531.9670353754741,950.6204050765737,543.3006262019519,495.86816490291096,6819.047590694725
Payment,4261.277835282643,26105.82174918596,5740.243812588371,5291.207962080822,5883.407035375472,15262.900405076587,5866.370626201959,6032.228164902912,74443.45759069473
